Month,Weekday,Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,TRY,AUD,BRL,CAD,CNH,HKD,IDR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,INR
7,5,2009-07-09,1.399,92.95925661,1.39799857,18.53681201,5.32301644,1.62561004,196.5689778,3.112794853,3.012294496,7.847390994,1.0807005,6.486061472,1.545746962,0.784588638,2.003216583,1.156683345,6.831665475,7.750250179,10145.26805,1277.548249,13.46847748,3.563974267,0.630350545,48.11007863,1.458756254,34.07362402,8.100786276,48.70979271
7,4,2009-07-08,1.3901,94.25221207,1.40694914,18.7375009,5.357096612,1.607144922,200.0575498,3.189554708,3.034170204,7.956262139,1.090712898,6.529746061,1.555499604,0.784126805,1.991655277,1.165815409,6.83288972,7.750377671,10249.90288,1277.70664,13.45298899,3.56247752,0.627075063,48.23322063,1.461981152,34.07524639,8.161283361,48.89000791
7,3,2009-07-07,1.4019,95.30636993,1.395106641,18.46208717,5.311719809,1.622945126,194.8783793,3.120051359,3.004279906,7.821527926,1.08288751,6.46016121,1.540266781,0.801818806,1.948855125,1.157215208,6.832727013,7.750053499,10253.53449,1272.851131,13.20350952,3.548469934,0.637343153,48.21385263,1.456594622,34.0923033,7.977530494,48.23025893
7,2,2009-07-06,1.3897,95.30114413,1.407354105,18.67597323,5.358062891,1.613678588,196.9489818,3.156796431,3.028207527,7.858170828,1.093617327,6.515075196,1.549974815,0.789378018,1.971720515,1.165215514,6.834496654,7.750161905,10230.36627,1268.460819,13.34748507,3.545009714,0.626696731,48.26149529,1.458228395,34.1253508,8.012520688,48.57523206
7,6,2009-07-03,1.4009,95.88121922,1.396102506,18.46313084,5.315083161,1.636087591,194.5535013,3.106931258,3.000571061,7.790349061,1.08701549,6.400171318,1.533300021,0.798142662,1.946677136,1.156613606,6.832322079,7.750017846,10189.75659,1265.66493,13.229995,3.526518667,0.633346896,48.02769648,1.452780355,34.09022771,7.910628881,47.87993433
7,5,2009-07-02,1.4049,96.76845327,1.392127554,18.33226564,5.300021354,1.638749563,191.0812157,3.099366503,2.993949747,7.715851662,1.08441882,6.361662752,1.529575059,0.801654779,1.937646808,1.153178162,6.831375899,7.749946615,10231.63214,1269.698911,13.1249911,3.519965834,0.633751353,48.0952381,1.450423518,34.09495338,7.808954374,47.94504947
7,4,2009-07-01,1.4096,96.85726447,1.387485812,18.28178207,5.281994892,1.646344312,192.3311578,3.114642452,2.975383087,7.604994325,1.081228717,6.370601589,1.529440976,0.806176723,1.941472758,1.150964813,6.833073212,7.750212826,10230.79597,1275.205732,13.14046538,3.519012486,0.640232548,47.97318388,1.446722474,34.04511918,7.736095346,47.89514756
6,3,2009-06-30,1.4134,95.87519457,1.383755483,18.31187208,5.268855243,1.658725502,192.1253714,3.149851422,2.976652045,7.649992925,1.08001981,6.380359417,1.52922032,0.814217409,1.943469648,1.151478704,6.830691948,7.750106127,10207.7119,1275.244092,13.12699873,3.514999292,0.652659771,48.0154238,1.446228951,34.05971416,7.701499929,47.76991651
6,2,2009-06-29,1.4058,95.34073126,1.391236307,18.509034,5.296841656,1.656513286,196.4788732,3.198178973,2.997225779,7.729264476,1.085502916,6.426234173,1.537843221,0.805569881,1.935481576,1.154929577,6.83383127,7.749964433,10268.59439,1285.602504,13.18260065,3.5394793,0.648641166,48.21667378,1.454260919,34.03471333,7.815265329,48.05022052
6,6,2009-06-26,1.4096,95.41713961,1.387485812,18.44353008,5.282633371,1.650005853,195.3036322,3.18849319,2.991912599,7.774900681,1.083640749,6.413166856,1.535541998,0.807469783,1.930334847,1.146992054,6.833782633,7.750070942,10220.72219,1280.703746,13.15699489,3.532491487,0.646753843,48.18459137,1.453816686,34.05008513,7.905717934,48.10017026
6,5,2009-06-25,1.394,96.37015782,1.403012912,18.70875179,5.341104735,1.62717404,198.7804878,3.239598278,3.029555237,7.942467719,1.098350072,6.510760402,1.556025825,0.797118024,1.963271162,1.162123386,6.83472023,7.750143472,10278.89527,1287.625538,13.24196557,3.536011478,0.637402835,48.14275466,1.458823529,34.12482066,8.076470588,48.6025825
6,4,2009-06-24,1.4029,95.35248414,1.394112196,18.64708817,5.30665051,1.65183092,197.98275,3.230451208,3.012901846,7.85943403,1.082258179,6.421697911,1.555991161,0.79864511,1.971059947,1.147979186,6.832774966,7.75001782,10381.49547,1282.472022,13.28327037,3.532967425,0.64335504,48.12459904,1.45420201,34.13500606,8.054244779,48.53018747
6,3,2009-06-23,1.3978,95.50007154,1.399198741,18.74874803,5.3256546,1.63037266,201.1732723,3.252396623,3.029761053,7.942838747,1.075332666,6.509514952,1.56989555,0.787759243,2.014022035,1.151881528,6.834811847,7.750107311,10510.67392,1287.537559,13.26262699,3.547002432,0.634037921,48.29017027,1.457290027,34.15510087,8.20746888,48.55272571
6,2,2009-06-22,1.3858,95.98787704,1.411314764,18.77543657,5.371915139,1.644768856,201.0535431,3.263818733,3.045388945,7.994299322,1.08774715,6.484341175,1.562418819,0.795522388,1.99249531,1.145259056,6.835618415,7.750324722,10458.9479,1278.25083,13.45403377,3.540482032,0.634407618,48.25443787,1.458652042,34.15716554,8.147784673,48.42978785
6,6,2009-06-19,1.3932,96.78438128,1.403818547,18.91831754,5.34266437,1.64457298,200.617284,3.239879414,3.02490669,7.875753661,1.083979328,6.387812231,1.553402239,0.80611005,1.961312087,1.127476314,6.836204421,7.750215332,10401.23457,1264.254953,13.33003158,3.536032156,0.642471755,48.34912432,1.455211025,34.15518231,8.104364054,48.01033592
6,5,2009-06-18,1.392,95.95545977,1.405028736,19.14152299,5.347701149,1.621810556,203.7140805,3.274066092,3.040158046,7.877873563,1.078520115,6.381106322,1.567672414,0.794157919,1.976939655,1.13204023,6.834698276,7.750359195,10280.73276,1265.402299,13.43002874,3.540517241,0.634949596,48.36350575,1.457758621,34.14727011,8.152298851,48.10991379
6,4,2009-06-17,1.384,96.30057803,1.413150289,19.2882948,5.379118497,1.624031917,205.0578035,3.271893064,3.058020231,7.870809249,1.090751445,6.443641618,1.558887283,0.789593793,1.981719653,1.141184971,6.837427746,7.750216763,10277.1315,1255.455202,13.49602601,3.533526012,0.62689677,48.2984104,1.459248555,34.17774566,8.071893064,47.98988439
6,3,2009-06-16,1.389,97.03383729,1.408063355,19.275018,5.359683225,1.646319782,201.6414687,3.261699064,3.048092153,7.818214543,1.084953204,6.419726422,1.543196544,0.80177788,1.935709143,1.123974082,6.83412527,7.750179986,10224.9964,1254.694024,13.3200144,3.520014399,0.636893026,48.17926566,1.456659467,34.10511159,7.995968323,47.59971202
6,2,2009-06-15,1.385,98.25270758,1.412129964,19.37833935,5.376534296,1.634796978,202.4548736,3.267870036,3.046931408,7.822743682,1.090974729,6.429963899,1.547870036,0.80127278,1.938700361,1.132851986,6.836389892,7.750469314,10173.4657,1257.833935,13.50050542,3.528592058,0.630893272,48.41444043,1.457761733,34.1898917,8.057978339,47.71480144
6,6,2009-06-12,1.4004,98.22193659,1.396600971,19.03384747,5.316838046,1.640196767,198.3790346,3.198443302,2.99921451,7.680305627,1.078191945,6.344258783,1.537560697,0.811590843,1.935089974,1.12167952,6.833833191,7.750856898,10096.04399,1249.871465,13.39502999,3.505498429,0.639656511,47.42787775,1.452299343,34.11025421,8.029991431,47.60354185
6,5,2009-06-11,1.3969,98.35349703,1.400100222,19.14596607,5.330660749,1.64205948,200.5870141,3.208175245,3.004509986,7.733194932,1.082396736,6.381272818,1.546281051,0.811726422,1.950748085,1.104445558,6.834777006,7.75116329,10129.67285,1258.508125,13.63547856,3.50748085,0.639752691,47.78151621,1.452931491,34.12985897,8.059274107,47.6147183
